"ID";"NederlandseEconomie";"Perioden";"CO2_1";"N2O_2";"CH4_3";"BroeikasgasEquivalent_4";"NOx_5";"SO2_6";"NH3_7";"ZuurEquivalent_8";"CFK12Equivalent_9";"CO_10";"NMVOS_11";"PM10_12"
"0";"B000579";"1990JJ00";"179580";"60.8";"1274.2";"238022";"782.7";"254.7";"350.1";"45.5";"6194.4";"1190.2";"597.9";"77.7"
"1";"B000579";"1991JJ00";"188598";"61.4";"1290.4";"246285";"764.9";"219.4";"354.7";"44.3";"5109.8";"1157.9";"552.9";"73.7"
"2";"B000579";"1992JJ00";"189178";"62.3";"1274.9";"247770";"764.3";"218.4";"296.3";"40.8";"4025.2";"1151.6";"521.7";"70.6"
"3";"B000579";"1993JJ00";"190145";"63.2";"1257.5";"249306";"751.3";"213.1";"310.8";"41.2";"2940.6";"1102.6";"491";"67.2"
"4";"B000579";"1994JJ00";"192487";"61.6";"1217.1";"251963";"727.9";"203.7";"278";"38.5";"1856";"1029";"460.7";"63.6"
"5";"B000579";"1995JJ00";"194770";"61.3";"1188.2";"252796";"710";"202.5";"223.2";"34.9";"771.4";"953.5";"431.1";"61"
"6";"B000579";"1996JJ00";"204304";"61.5";"1160.4";"263978";"699.4";"195.7";"178.1";"31.8";"527.4";"929.9";"411.6";"57.1"
"7";"B000579";"1997JJ00";"199772";"60.7";"1095.3";"258417";"680.5";"184";"175.1";"30.8";"404.5";"885.9";"383.2";"54.7"
"8";"B000579";"1998JJ00";"201570";"58.7";"1065.8";"259642";"667.5";"183.4";"162.2";"29.8";"282.1";"849.1";"368";"53.3"
"9";"B000579";"1999JJ00";"198671";"56.5";"1015.6";"248859";"687.5";"188.4";"158";"30.1";"273.4";"823.7";"354.1";"54.8"
"10";"B000579";"2000JJ00";"200592";"54.8";"971.6";"248107";"670.5";"174.5";"175.6";"30.3";"252";"809.1";"340.9";"53"
"11";"B000579";"2001JJ00";"205653";"51.5";"945";"248732";"658.4";"171.4";"169.5";"29.6";"231.3";"801.1";"311.1";"51.1"
"12";"B000579";"2002JJ00";"204842";"48.7";"899.8";"246504";"634.1";"155.8";"162.5";"28.2";"204.2";"787.1";"295.4";"49.4"
"13";"B000579";"2003JJ00";"207924";"48.3";"868.9";"246815";"634.4";"152.8";"158.8";"27.9";"175.1";"782.5";"287.8";"47.2"
"14";"B000579";"2004JJ00";"210604";"49.8";"853.6";"249273";"625";"151.4";"157.1";"27.5";"165.3";"799.6";"267.8";"45.7"
"15";"B000579";"2005JJ00";"208171";"49.6";"795.3";"245106";"618.7";"155.4";"153.8";"27.3";"155.1";"784.2";"272.8";"45.1"
"16";"B000579";"2006JJ00";"201747";"49.4";"777.5";"238404";"571.7";"137.2";"156.6";"25.9";"144.7";"784.6";"264.9";"42.3"
"17";"B000579";"2007JJ00";"203447";"43.9";"779.6";"238708";"579.6";"142.8";"152.8";"26";"134.5";"770.3";"268.6";"42.8"
"18";"B000579";"2008JJ00";"207773";"31.2";"788.7";"239505";"576";"118.9";"139.5";"24.4";"124.3";"774.8";"263.3";"41.1"
"19";"B000579";"2009JJ00";"203160";"30.5";"779.9";"234449";"534.6";"100.8";"136.9";"22.8";"114.6";"725";"264.3";"38.8"
"20";"B000579";"2010JJ00";"214470";"29.5";"776.5";"245748";"520";"87.1";"133.2";"21.8";"104.6";"722.8";"273.5";"37.1"
"21";"B000579";"2011JJ00";"202428";"28.8";"754.6";"232666";"486.3";"69.6";"130";"20.4";"94.8";"702.4";"270.4";"34.7"
"22";"B000579";"2012JJ00";"201172";"28.3";"737.9";"230774";"481.1";"62.6";"124.2";"19.7";"85.3";"681.7";"267.6";"33.5"
"23";"B000579";"2013JJ00";"200597";"28.9";"737.4";"229922";"481.6";"68.9";"123.4";"19.9";"81.2";"650.4";"264.2";"32.9"
